Code insee;Bénéficiaires;Communes;Projets;Détails;Coût ;"Subvention DSIL ""classique""";Subvention DSIL exceptionnelle;latitude;longitude
81070;Communes;Couffouleux;Transition écologique;acquisition de vélos électriques pour prêt aux habitants;10 999,00 €;5 500,00 €;50,00%;43.797579;1.727648
62421;Communes;HAVRINCOURT;Hors thématiques DSIL relance;Mise aux normes d’accessibilité de l’école;11 131,92 €;2 226,38 €;20,00%;50.111493;3.084847
1445;Communes;Villemotier;Transition écologique;Changement des huisseries du bâtiment Mairie et porte école;11 180,00 €;4 472,00 €;40,00%;46.337908;5.318107
29143;Communes;MAHALON;Préservation du patrimoine;Restauration des vitraux de la Chapelle St Pierre;11 206,00 €;5 000,00 €;44,62%;48.029262;-4.424862
8369;Communes;LA ROMAGNE;Transition écologique;Rénovation énergétique de la mairie et de la salle des fêtes;11 217,00 €;5 609,00 €;50,00%;49.679039;4.31425
2083;Communes;BEUVARDES;Résilience Sanitaire;Aménagement d'un local communal pour y installer un cabinet d'infirmières;11 289,65 €;6 773,79 €;60,00%;49.140106;3.489133
70560;Communes;Villers-Bouton;Transition écologique;Rénovation thermique d’un bâtiment communal;11 340,00 €;5 670,00 €;50,00%;47.450796;5.977722
35250;Communes;SAINT-ARMEL;Transition écologique;Changement des portes et fenêtres au centre de loisirs;11 373,00 €;4 500,00 €;39,57%;48.014402;-1.577307
18128;Communes;Limeux;Transition écologique;Rénovation de la salle des fêtes;11 374,00 €;3 720,00 €;32,71%;47.07539;2.112174
80316;Communes;Flesselles;Transition écologique;rénovation énergétique d'une salle de classe;11 402,26 €;5 434,00 €;47,66%;49.999464;2.260584
42237;Communes;ST JEAN BONNEFONDS;Transition écologique;Remplacement de la chaudière de l'école maternelle Baraillère;11 499,00 €;3 450,00 €;30,00%;45.460799;4.44916
82094;Communes;Lauzerte;Préservation du patrimoine;Acquisition de mobilier et de matériel informatique destinés au nouveau service « animation/communication » ;11 543,00 €;5 771,00 €;50,00%;44.255242;1.138077
12076;Communes;Conques-en-Rouergue;Préservation du patrimoine;réfection de la toiture de la sacristie de l’église et remplacement des portes;11 552,00 €;4 622,00 €;40,01%;44.539608;2.407792
80677;Communes;Roisel;Transition écologique;rénovation thermique de la mairie;11 598,00 €;5 219,36 €;45,00%;49.947229;3.101314
97131;Communes;Terre-de-Haut;Hors thématiques DSIL relance;appel à projet covid -protocole rentrée 2020;11 608,07 €;9 286,46 €;80,00%;15.864141590127891;-61.583599422780914
28341;Communes;Saint Jean de Rebervilliers;Transition écologique;Remplacement des huisseries de la mairie;11 647,00 €;5 800,00 €;49,80%;48.6295532;1.2578653
200071751;EPCI;Communauté d’Agglomération du Bassin de Bourg-en-Bresse;Transition écologique;Acquisition d’une nouvelle chaudière à la mairie de St Didier sur Chalaronne;11 672,00 €;3 502,00 €;30,00%;46.214757474828;5.220476476032903
80541;Communes;Mesnil Saint Georges;Préservation du patrimoine;réfection du paratonnerre de l'église communale;11 760,00 €;2 940,00 €;25,00%;49.639209;2.524417
62522;Communes;LOISON-SUR-CREQUOISE;Transition écologique;changement fenêtres de l’école maternelle et mise en place d’un préau;11 789,58 €;4 715,83 €;40,00%;50.439425;1.924077
59270;Communes;Grand-Fayt;Transition écologique;Rénovation de l’éclairage de la salle polyvalente;11 939,00 €;4 776,00 €;40,00%;50.114491;3.805781
28091;Communes;Les Chatelliers Notre Dame;Résilience Sanitaire;Travaux sur le château d’eau;11 958,00 €;4 800,00 €;40,14%;48.353777;1.204367
39160;Communes;Commenailles;Transition écologique;Remplacement de la chaudière de la mairie par une pompe à chaleur réversible;11 963,78 €;3 525,38 €;29,47%;46.804545;5.428934
29066;Communes;GUENGAT;Préservation du patrimoine;Travaux de restauration de la fontaine Saint Divy;12 000,00 €;9 600,00 €;80,00%;48.043093;-4.188024
1410;Communes;Sonthonnax-la-Montagne;Transition écologique;Changement des cinq portes de la salle polyvalente (réhabilitation thermique);12 012,00 €;3 604,00 €;30,00%;46.219407;5.510445
54365;Communes;Méréville;Transition écologique;Aménagement d’un parking de covoiturage;12 155,00 €;3 647,00 €;30,00%;48.592406;6.149533
26290;Communes;SAINT AGNAN EN VERCORS;Préservation du patrimoine;Église du village : rénovation du mur d’enceinte et du parvis de l’église devant le porche;12 289,95 €;4 916,00 €;40,00%;44.902878;5.427117
12174;Communes;Olemps;Préservation du patrimoine;aménagement de l’accès au dojo;12 300,00 €;3 690,00 €;30,00%;44.335181;2.558716
19136;Communes;Meymac;Préservation du patrimoine;Travaux des toitures de l’Église Saint Léger, l’Abbaye Saint André et de la halle;12 320,00 €;3 696,00 €;30,00%;45.5338142;2.152052
28406;Communes;Eole en Beauce;Transition écologique;Rénovation des menuiseries d’un logement communal;12 339,00 €;6 000,00 €;48,63%;48.2137412;1.6791132
